,Brent,Oro,DJ,SP500,TRM
2022-01-03,78.9800033569336,1799.4000244140625,36585.05859375,4796.56005859375,4063.580078125
2022-01-04,80.0,1814.0,36799.6484375,4793.5400390625,4063.080078125
2022-01-05,80.80000305175781,1824.5999755859375,36407.109375,4700.580078125,4078.550048828125
2022-01-06,81.98999786376953,1788.699951171875,36236.46875,4696.0498046875,4026.919921875
2022-01-07,81.75,1797.0,36231.66015625,4677.02978515625,4030.919921875
2022-01-10,80.87000274658203,1798.4000244140625,36068.87109375,4670.2900390625,3970.704833984375
2022-01-11,83.72000122070312,1818.5999755859375,36252.01953125,4713.06982421875,4048.2900390625
2022-01-12,84.66999816894531,1827.199951171875,36290.3203125,4726.35009765625,3993.18994140625
2022-01-13,84.47000122070312,1821.199951171875,36113.62109375,4659.02978515625,3977.419921875
2022-01-14,86.05999755859375,1816.5,35911.80859375,4662.85009765625,3965.35009765625
2022-01-18,87.51000213623047,1812.300048828125,35368.46875,4577.10986328125,4005.2099609375
2022-01-19,88.44000244140625,1843.0999755859375,35028.6484375,4532.759765625,4035.550048828125
2022-01-20,88.37999725341797,1842.5,34715.390625,4482.72998046875,3992.320068359375
2022-01-21,87.88999938964844,1831.800048828125,34265.37109375,4397.93994140625,3973.75
2022-01-24,86.2699966430664,1841.699951171875,34364.5,4410.1298828125,3954.7099609375
2022-01-25,88.19999694824219,1852.699951171875,34297.73046875,4356.4501953125,3974.080078125
2022-01-26,89.95999908447266,1829.9000244140625,34168.08984375,4349.93017578125,3966.39990234375
2022-01-27,89.33999633789062,1793.300048828125,34160.78125,4326.509765625,3928.25
2022-01-28,90.02999877929688,1784.9000244140625,34725.46875,4431.85009765625,3961.260009765625
2022-01-31,91.20999908447266,1795.0,35131.859375,4515.5498046875,3912.49755859375
2022-02-01,91.29000091552734,1800.300048828125,35405.23828125,4546.5400390625,3941.27001953125
2022-02-02,89.47000122070312,1809.199951171875,35629.328125,4589.3798828125,3922.090087890625
