,Pais,Estatus,Esperanza de vida,Muerte infantil,Consumo alcohol,PIB,Poblacion,Desnutrición infantil,Escolaridad
0,Italy,Developed,82.5,2,7.56,35396.66517,678914.0,0.6,16.3
1,Cyprus,Developed,83.0,0,0.01,2734.88382,115239.0,1.0,14.0
2,Honduras,Developing,74.5,3,2.87,2242.711912,889216.0,2.1,11.4
3,Mauritania,Developing,63.0,8,0.01,1326.66882,46392.0,7.7,8.5
4,Burundi,Developing,59.1,22,0.01,312.7489794,989179.0,7.3,10.6
5,Brazil,Developing,74.8,44,7.32,1226.61731,24213133.0,2.7,15.2
6,Afghanistan,Developing,59.9,64,0.01,612.696514,327582.0,17.5,10.0
7,Jamaica,Developing,75.8,1,3.83,4855.743789,286287.0,1.7,12.8
8,Philippines,Developing,68.4,54,4.52,2842.938353,112249.0,9.7,11.7
9,Iraq,Developing,67.9,32,0.01,673.74737,3568.0,5.1,10.1
10,Pakistan,Developing,66.2,359,0.01,1316.98966,185546257.0,19.8,7.8
11,Spain,Developed,82.6,1,0.01,296.47225,4648882.0,0.5,17.6
12,Burkina Faso,Developing,59.3,39,0.01,75.1464113,17585977.0,7.7,7.7
13,Bulgaria,Developed,74.3,1,12.03,7853.335191,7223938.0,1.9,14.8
14,Tonga,Developing,73.3,0,0.01,4192.349758,15782.0,0.1,14.3
15,Israel,Developing,82.2,1,2.62,37582.84624,82157.0,1.1,16.0
16,Vanuatu,Developing,71.7,0,0.01,3148.36513,25885.0,1.4,10.8
17,Germany,Developed,89.0,2,11.03,4792.65288,89825.0,1.1,17.0
18,Uganda,Developing,61.5,68,0.01,719.172669,38833338.0,5.6,10.0
19,Sao Tome and Principe,Developing,67.3,0,0.01,1821.878734,191266.0,5.4,11.1
20,Belarus,Developing,72.0,0,13.94,8318.429294,9474511.0,2.0,15.7
21,Croatia,Developed,77.8,0,12.14,13467.46827,4238389.0,1.5,15.1
22,Fiji,Developing,69.7,0,0.01,546.3728,88586.0,3.7,15.2
23,Liberia,Developing,58.1,8,0.01,458.4651734,439737.0,6.5,9.9
24,Jordan,Developing,74.0,4,0.41,466.94775,88936.0,3.9,13.1
25,Russian Federation,Developing,73.0,13,10.12,14125.961,143819666.0,2.3,14.9
26,Guinea,Developing,58.1,27,0.01,561.997387,118559.0,7.4,8.6
27,Rwanda,Developing,65.7,12,0.01,76.5699517,11345357.0,5.8,10.8
28,Tunisia,Developing,75.1,3,1.39,4271.68172,1114398.0,6.4,14.7
29,El Salvador,Developing,73.3,2,2.52,3988.771871,6281189.0,1.6,13.2
30,Gabon,Developing,65.5,2,0.01,9692.163874,1875713.0,6.0,12.6
31,Mongolia,Developing,68.4,1,0.01,4181.583321,2923896.0,2.3,14.8
32,France,Developing,82.2,3,11.5,42955.24287,66331957.0,0.6,16.2
33,Estonia,Developing,77.3,0,0.01,19941.45532,1314545.0,1.9,16.5
34,China,Developing,75.8,171,5.78,7683.5238,136427.0,3.0,13.1
35,Nigeria,Developing,53.6,490,0.01,3221.678128,1764652.0,9.9,10.0
36,Morocco,Developing,74.1,18,0.43,3154.513484,3431882.0,6.2,12.1
37,Georgia,Developing,74.5,1,6.13,4429.6575,3727.0,2.8,13.5
38,Lithuania,Developed,73.4,0,15.19,16554.97139,2932367.0,2.7,16.5
39,Myanmar,Developing,66.4,40,0.01,1262.893782,51924182.0,13.1,9.1
